instance_id,task_count,instance_seed,solver_seed,drone_count,method_id,method_label,variant_description,initial_routes_sha256,late_count,late_rate,total_lateness_min,lateness_per_task_min,distance_km,distance_per_task_km,construction_seconds,search_seconds,total_runtime_seconds,iterations,valid
virtual_n30_seed2026082605,30,2026082605,2026082605,2,no_assignment_destroy,去除任务重分配破坏,移除assignment_destroy破坏算子，其余设置不变,e65f0db31289f8bf75db69a7cda484bcbf182fc7f8890973fc756776c986e8a2,3,0.1,214.6458981198681,7.15486327066227,328.8450214779911,10.961500715933036,0.009194833924993873,0.40184433315880597,0.41103916708379984,1000,True
virtual_n30_seed2026082605,30,2026082605,2026082605,2,uniform_operator_weights,关闭自适应权重,保留14个算子，但整个搜索期间保持均匀选择权重,e65f0db31289f8bf75db69a7cda484bcbf182fc7f8890973fc756776c986e8a2,4,0.13333333333333333,111.94817210024874,3.731605736674958,336.030559754946,11.201018658498201,0.009194833924993873,0.49482208397239447,0.5040169178973883,1000,True
virtual_n60_seed2026082601,60,2026082601,,4,nearest_adjacent,最近邻成对贪心,,,29,0.48333333333333334,2157.7905745462617,35.9631762424377,931.2590944965843,15.520984908276406,0.0,0.011548375012353063,0.011548375012353063,0,True
virtual_n60_seed2026082601,60,2026082601,,4,edd_adjacent,最早截止期成对贪心,,,46,0.7666666666666667,4015.3254874314275,66.92209145719046,1230.0958665933401,20.50159777655567,0.0,0.001249041873961687,0.001249041873961687,0,True
virtual_n60_seed2026082601,60,2026082601,,4,greedy_full_position,全位置词典序贪心,,,16,0.26666666666666666,646.587726400156,10.776462106669268,702.3092698143463,11.705154496905772,0.0,0.005266750231385231,0.005266750231385231,0,True
virtual_n60_seed2026082601,60,2026082601,2026082601,4,full_alns,完整C2-Lex-ALNS,14个算子、截止期风险引导和自适应权重全部开启,7d1944922b024989280874f33539274f476babaa8f0e5e53ab6c5d9420390791,4,0.06666666666666667,329.47088962353797,5.491181493725633,613.1980848897836,10.219968081496393,0.03358187503181398,1.1836655410006642,1.2172474160324782,1000,True
virtual_n60_seed2026082601,60,2026082601,2026082601,4,no_time_awareness,去除时间感知,关闭截止期风险引导，并移除deadline_related、late_critical、deadline和slack算子,7d1944922b024989280874f33539274f476babaa8f0e5e53ab6c5d9420390791,3,0.05,86.18902450012708,1.4364837416687846,572.6958172184408,9.544930286974013,0.03358187503181398,1.238766917027533,1.272348792059347,1000,True
virtual_n60_seed2026082601,60,2026082601,2026082601,4,no_capacity_conflict,去除容量冲突破坏,移除capacity_conflict破坏算子，其余设置不变,7d1944922b024989280874f33539274f476babaa8f0e5e53ab6c5d9420390791,3,0.05,223.64625300091444,3.7274375500152406,608.5389739765452,10.14231623294242,0.03358187503181398,1.173642999958247,1.207224874990061,1000,True
virtual_n60_seed2026082601,60,2026082601,2026082601,4,no_assignment_destroy,去除任务重分配破坏,移除assignment_destroy破坏算子，其余设置不变,7d1944922b024989280874f33539274f476babaa8f0e5e53ab6c5d9420390791,4,0.06666666666666667,328.5975038764621,5.476625064607702,622.4307992059994,10.373846653433324,0.03358187503181398,1.1862408330198377,1.2198227080516517,1000,True
virtual_n60_seed2026082601,60,2026082601,2026082601,4,uniform_operator_weights,关闭自适应权重,保留14个算子，但整个搜索期间保持均匀选择权重,7d1944922b024989280874f33539274f476babaa8f0e5e53ab6c5d9420390791,3,0.05,265.82383644517677,4.430397274086279,602.1537277232048,10.035895462053414,0.03358187503181398,1.16455345810391,1.198135333135724,1000,True
virtual_n60_seed2026082602,60,2026082602,,4,nearest_adjacent,最近邻成对贪心,,,24,0.4,1950.3853249532274,32.50642208255379,979.4992042166194,16.324986736943657,0.0,0.011812832904979587,0.011812832904979587,0,True
virtual_n60_seed2026082602,60,2026082602,,4,edd_adjacent,最早截止期成对贪心,,,41,0.6833333333333333,3441.557447935683,57.35929079892805,1184.3891872559186,19.739819787598645,0.0,0.0012823748402297497,0.0012823748402297497,0,True
virtual_n60_seed2026082602,60,2026082602,,4,greedy_full_position,全位置词典序贪心,,,16,0.26666666666666666,732.795696112394,12.213261601873233,755.7733398407161,12.596222330678602,0.0,0.006859167013317347,0.006859167013317347,0,True
virtual_n60_seed2026082602,60,2026082602,2026082602,4,full_alns,完整C2-Lex-ALNS,14个算子、截止期风险引导和自适应权重全部开启,168c5aa50fd605b3af71c49d3d0e4054c8774bde14125a417a912a3afe1f2e12,7,0.11666666666666667,371.663763511036,6.194396058517267,634.856367530621,10.580939458843684,0.03386387508362532,1.2174184580799192,1.2512823331635445,1000,True
virtual_n60_seed2026082602,60,2026082602,2026082602,4,no_time_awareness,去除时间感知,关闭截止期风险引导，并移除deadline_related、late_critical、deadline和slack算子,168c5aa50fd605b3af71c49d3d0e4054c8774bde14125a417a912a3afe1f2e12,6,0.1,296.98467197387896,4.9497445328979826,624.0962600665835,10.401604334443057,0.03386387508362532,1.0876927089411765,1.1215565840248019,1000,True
virtual_n60_seed2026082602,60,2026082602,2026082602,4,no_capacity_conflict,去除容量冲突破坏,移除capacity_conflict破坏算子，其余设置不变,168c5aa50fd605b3af71c49d3d0e4054c8774bde14125a417a912a3afe1f2e12,6,0.1,313.7145606018397,5.228576010030662,622.5828064172822,10.376380106954704,0.03386387508362532,1.080490541877225,1.1143544169608504,1000,True
virtual_n60_seed2026082602,60,2026082602,2026082602,4,no_assignment_destroy,去除任务重分配破坏,移除assignment_destroy破坏算子，其余设置不变,168c5aa50fd605b3af71c49d3d0e4054c8774bde14125a417a912a3afe1f2e12,6,0.1,413.61272526261433,6.893545421043572,638.3598619350853,10.639331032251421,0.03386387508362532,1.054549166932702,1.0884130420163274,1000,True
virtual_n60_seed2026082602,60,2026082602,2026082602,4,uniform_operator_weights,关闭自适应权重,保留14个算子，但整个搜索期间保持均匀选择权重,168c5aa50fd605b3af71c49d3d0e4054c8774bde14125a417a912a3afe1f2e12,6,0.1,370.909917925168,6.181831965419466,609.1777782511455,10.152962970852425,0.03386387508362532,1.0717591249849647,1.10562300006859,1000,True
virtual_n60_seed2026082603,60,2026082603,,4,nearest_adjacent,最近邻成对贪心,,,28,0.4666666666666667,2815.1747892991393,46.91957982165232,1008.8242258675438,16.813737097792394,0.0,0.011119792005047202,0.011119792005047202,0,True
virtual_n60_seed2026082603,60,2026082603,,4,edd_adjacent,最早截止期成对贪心,,,43,0.7166666666666667,4374.044083786457,72.90073472977429,1281.7106219474442,21.36184369912407,0.0,0.0012151659466326237,0.0012151659466326237,0,True
